t268357648;t290749718;t372226525;t751169994;t1159091985;t1311180441;t1431595225;t1824284809;t1990024365;t2411117902;t2451517896;t2643905994;t2748282437;t2821698184;t3138706091;t3649082374;t4125607023;t4127043053;t4157170894;Y
8866;248348260;9839095;328144107;25406627;852904;1486409420;4103110;341540664;4863260;657446057;41815175180;37364901736;101290000000;3983201;75631841753;0;3932856;2063276588;0
13429;253938519;9171148;238580036;28010256;1019016;1457809134;3828006;332176425;5005239;632409851;42833239907;39545794423;103281000000;3234867;78607406420;0;3736288;2053219418;0
5617;257698581;8535059;219453609;25863924;834744;1662014463;3683952;340882366;5127219;648785367;45753790542;39454867546;107117000000;2673234;81849001705;0;3703240;2088503732;0
3094;241445537;7507001;251121228;22553704;765470;1739000189;3663908;334565572;5340190;630470133;43082062346;37880581337;100897000000;2445761;77908370766;0;3493319;2287761168;0
4578;271147519;9187853;164098647;21488241;689848;1795887916;3758890;354315762;4815267;662017358;48148190339;36940304191;107606000000;2092094;83438127608;0;4006826;2266701516;0
879;264825733;7076405;190055370;35202015;709002;1597828198;3859384;342451811;8962636;665405833;39243915142;36677193193;101076000000;2381037;76101833353;0;8091605;3262328345;0
1744;285278810;8096538;407795613;35358016;990105;2051340406;4090057;384248325;6107071;712606666;44310609922;40483873793;115629000000;2346954;88179880211;0;3098335;2985057131;0
2490;311500678;6751821;331123873;29748916;563799;1952737116;3694983;352839235;9296587;697110003;43805457091;35993245347;111662000000;1864729;87908636445;0;2782913;3426713669;0
1104;232053090;6382910;404375833;29568516;506072;1573113112;3780369;304178067;5850112;641790425;36246159127;32702515838;91876974733;1948232;71494905051;0;2358656;2431871233;0
914;243015051;268482301;261448385;26708985;169576852;2142710014;242862483;278989977;4454323;621991440;29138518615;35517387189;85841602912;21690642;67539738696;0;2305909;2100535471;0
1177;241636078;139646173;181761205;29434036;84897736;1133855234;122707712;214001429;7027934;647508563;17806708802;34292662972;68214341722;13584132;52746821660;0;3795654;2733546242;0
3849;254593051;89289403;117993219;38456163;12482239;725535369;13350191;172425790;11419269;1153611611;14531344613;37013404628;69533719767;7831008;57761093527;0;4915821;4092891631;0
